,Name,Site,Address
,Flaming Bean Coffee,www.flamingbeancoffee.co.uk,"Unit 39, Clayhill Light Industrial Park, Coalbrookdale Rd, Neston, Cheshire, CH64 3UG"
,Flat Cap Coffee,https://www.flatcapcoffee.com/,"Unit 2C, Fitz Gilbert Court, Castledown Business Park, SP11 9FA."
,Footprint Coffee,www.footprintcoffee.co.uk,"Ednol Farm, Kinnerton, Presteigne, Powys, Wales, LD8 2PF"
,Forge Coffee Roasters,https://forgecoffeeroasters.co.uk/,"The Forge Coffee Roasters, Don Road, Sheffield, S. Yorkshire, S9 2TF"
,Forth Coffee Roasters,https://www.forthcoffee.com/,"Edinburgh, Scotland"
,Fortitude Coffee Roasters,https://www.fortitudecoffee.com/,Edinburgh
,Foundation Roasters,https://www.foundationroasters.co.uk/,
,Foundry Coffee roasters,https://foundrycoffeeroasters.com,"Cutlery Works (upstairs), 73-101 Neepsend Lane, Sheffield, S3 8AT"
,Fountain Rock Coffee,https://fountainrockcoffee.co.uk/,"6 Albany Road, Weymouth England DT4 9TH United Kingdom"
,Four Rivers Coffee,https://fourriverscoffee.co.uk/,
,Frazer’s Coffee Roasters,frazerscoffeeroasters.co.uk,"Unit 39/40 Effingham Road, Attercliffe, Sheffield, South Yorkshire, S9 3QA "
,"Freehand Coffee (Cornish Coffee, part of Miko coffee.)",www.freehandcoffee.com,"Unit 4 Barncoose Ind. Est, Redruth, Cornwall, TR15 3RQ"
,Freshpac,freshpac.co.uk,"Unit B, Broadway Drive, Halesworth, Suffolk, IP19 8QR "
,Fuel & Fable,www.fuelandfable.co.uk,1a Reid Street Avon trading Estate Christchurch Dorset BH23 2BT
,Full Bloom Coffee,https://fullbloomcoffee.co.uk/,
,Full Bloom Coffee Roasters,https://fullbloomcoffee.co.uk,Surrey
,Full Circle Roasters,https://www.fullcircleroasters.ie,"Carrickmacross, Co. Monaghan, Ireland"
,Full Spectrum Coffee,www.fullspectrumcoffee.com,Unit 5Sunnyside FarmShrewsburySY4 4BJ
,Garage Coffee,www.garageroasted.co.uk,"Southview, Maypole Lane, Hoath, Canterbury, Kent, CT3 4LL"
,Garraways Coffee,www.garraways.co.uk,"Unit 42 Bradley Court, Bradley Fold Trading Estate, Radcliffe Moor Road, Bolton, Lancashire, BL2 6RT"
,Geometry Coffee,https://www.geometrycoffee.ie/,Unit 12 MG Business Park Tuam Co. Galway H54 RC64
,Ghostship Coffee,https://www.ghostshipcoffee.co.uk/,Newcastle upon Tyne
,Gillards of Bath,www.gillards.co.uk,"1 Roseberry Place, Lower Bristol Road, Bath, BA2 3DU"
,Ginger Monkey,https://gingermonkeyroasters.com/,31 Christleton Road Chester CH3 5UF
,GirlsWhoGrindCoffee,www.girlswhogrindcoffee.com,"UPTON SCUDAMORE, Wiltshire"
,Glen Lyon Coffee,www.glenlyoncoffee.co.uk,"Glen Lyon Coffee Roasters, Aberfeldy Business Park, Aberfeldy, Perthshire, PH15 2AQ"
,Glesga Roasters,http://www.glesgaroasters.com/,21 Park Avenue Bishopbriggs G64 2SN
,Godfrey C. Williams & Son Ltd,www.godfreycwilliams.co.uk,"9-11 Market Square, Sandbach, Cheshire , CW11 1AP"
,GoldBox Roastery,www.goldboxroastery.com,Newcastle upon Tyne
,Golden Sheep Coffee,https://goldensheepcoffee.co.uk/,"Unit 18, Workshop 4 Brigdend Works, , Stonehouse, United Kingdom"
,Golden Sheep Coffee,https://goldensheepcoffee.co.uk/,"Unit 18, Workshop 4,Bridgend Works,Stonehouse, Gloucestershire.GL10 2BA"
,Good Times Roastery,https://goodtimesroastery.com/,
,Goose and Badger,https://gooseandbadger.com/,"35 South Street, Bridport, Dorset"
,Gordon St Coffee,www.gordonstcoffee.co.uk,"Glasgow Central Station, 79 Gordon Street, Glasgow, Scotland, G1 3SQ"
,Gothee Coffee,www.gotheecoffee.co.uk,Cardiff
,Grain and Grind,https://grainandgrind.co.uk/,
,Grasp Coffee,www.graspcoffee.com,"Romford, Essex"
,Green Bridge Organics,www.greenbridgeorganics.co.uk,"66 The Park, Findhorn, IV36 3TZ"
,Green Farm Coffee Co,https://www.greenfarmcoffee.shop,"Unit 1 Green Farm, Wendover Road, Rackheath Ind. Est., Norwich, Norfolk, NR13 6LQ"
,Green Goat Coffee,https://greengoatcoffee.com/,"Main St, Donaghcumper, Celbridge, Co. Kildare, W23 W9W0, Ireland"
,Greenbean Roasters,https://www.greenbeanroasters.com/,"Greenbean House, Coes Road, Dundalk, Co Louth, Ireland. A91 XR97"
,Grey Seal Coffee,http://www.greysealcoffee.co.uk,"Manor Farm Barns, Glandford, Norfolk, NR25 7JP"
,Grind,https://grind.co.uk/,8-10 New North Place London EC2A 4JA United Kingdom
,Ground Work Coffee,https://www.groundworkcoffee.ie/,"Celbridge, Ireland"
,Grounded Coffee,https://www.groundedcoffeeco.uk/,65c Bank street
,Grumpy Mule Coffee,www.grumpymule.co.uk,"The Roastery, Meltham, Holmfirth, Yorkshire, HD9 4EP"
,GUSTATORY,https://www.gustatory.co/,"GUSTATORY, Banks Mill, 71 Bridge Street, Derby. DE1 3LB. GB"
,H Gunton Ltd,www.guntons.co.uk,81-83 Crouch StColchesterEssexCO3 3EZ
,Hampton Roast Coffee,https://www.hamptonroastcoffee.co.uk/,"19 Hampton Close, Larne, United Kingdom"
,HandPressed Coffee,https://www.handpressedcoffee.com/,
,Hands-On Coffee,www.hands-on-coffee.co.uk,"The Roastery, 6F Bess Park Road, Wadebridge, Cornwall, PL27 6HB"
,Hard Lines,https://hard-lines.co.uk/,"Hard Lines Cafe & Roastery, Cowbridge Rd East, Cardiff, United Kingdom"
,Harmony Coffee,https://www.harmonycoffee.co.uk,York
,Hasbean,hasbean.co.uk,"Unit 16, Ladford Covert, Ladfordfields Industrial Estate, Seighford, Stafford, ST18 9QL "
,Hayling Island Coffee Society,www.hics.biz,"Hayling Island, Hampshire"
,Hayman Coffee,https://www.haymancoffee.com/,"80-83 Long Lane, London EC1A 9ET, United Kingdom"
,Heart & Graft Roastery,www.heartandgraft.co.uk,"95 Greengate, Manchester, M3 7NG"
,Heartland,https://www.heartland.coffee/,
,Hedgerow Coffee,http://www.hedgerowcoffee.co.uk/,"Rue de la Pomares, St Peters, Guernsey, GY7 9HH"
,Heimat Coffee,https://www.heimat.coffee/,"Specialty coffee, kitchen and roastery based in Southport, UK."
,HEJ,https://www.hejcoffee.co.uk/,Bermondsey
,Herbert and Ward,https://herbertandward.com/,"3 Southern House, Anthonys Way Rochester, ME2 4DN"
,Hermanos Coffee Roasters,https://hermanoscoffeeroasters.com/,"London, England"
,Hessian Coffee,https://hessiancoffee.com/,Latchmore Bank Little Hallingbury Bishops Stortford Hertfordshire CM22 7PH
,Hinba,https://hinba.co.uk/,
,Hometown Coffee Roasters,https://www.hometowncoffeeroasters.co.uk/,"Hometown, The Mart, Haddington Road, East Linton, EH40 3DN"
,Horsebox Coffee Co,horseboxcoffeeco.com,"Unit 12 Highlands Farm, Wallingford, Oxfordshire, OX10 0QX "
,Horsham Coffee,https://www.horshamcoffeeroaster.co.uk/,"The Studio, Howards Nursery, Handcross Road, Plummers Plain, RH136NX"
,Hot Numbers Coffee,www.hotnumberscoffee.co.uk,"Gwydir St, Cambridge, CB1 2LJ"
,House Coffee of Doncaster,www.housecoffeeofdoncaster.com,Doncaster
,Hoxton Coffee,https://hoxtoncoffee.com/,Beech Green Lane Hartfield England TN7 4DB United Kingdom
,HR Higgins Ltd,www.hrhiggins.co.uk,"Duke Street, Mayfair, London, W1"
,Hundred House Coffee,www.hundredhousecoffee.com,"Ludlow, Shropshire"
,I Should OHCO,https://www.ishouldohco.com/,
,Imbibe Coffee,imbibe.ie,"Dublin, Ireland "
,Imperial Jade Coffee,https://www.imperialjadecoffee.com,Kent
,Indigo Valley,https://www.indigovalley.co.uk/,Indigo Valley Halfway House Burford Ox18 4PA
,Insurgence Coffee,https://www.insurgencecoffee.com/,
,Inverness Coffee Roasting,invernesscoffeeroasting.co.uk,"15 Chapel Street, Inverness, Scotland, IV1 1NA "
,Iron & Fire Speciality Coffee Roasters,ironandfire.co.uk,"Arch 10, Market Place, Shifnal, Shropshire, TF11 9AP "
,Island Roasted,www.islandroasted.co.uk,"85a St James Street, Newport, Isle of Wight, PO30 1LG"
,Island Tea & Coffee,https://islandteaandcoffee.co.uk/,"Pritchetts Way, Rookley Isle of Wight, PO38 3LT"
,Isle of Skye roastery,http://www.cafesia.co.uk/,"The Red Door, The Old Filling Station, Near the Roundabout by the Skye Bridge, Kyleakin side! , Isle of Skye, Scotland, IV41 8PQ"
,Italian aroma coffee,www.italianaromacoffee.co.uk,"Italian Aroma Coffee Co Ltd, Units 22-23 , Andrew Court,Clyde Street,Clydebank,Glasgow,G81 1PE"
,Jack & The Beans Coffee Co,https://www.jackandthebeans.co.uk/,"10 Fair OakesHaverfordwest SA61 1EE, UK"
,Jackalope Joe Coffee Co,https://jackalopejoe.co.uk/,
,James Gourmet Coffee,www.jamesgourmetcoffee.com,Unit 1 Chase Industrial Estate Alton Road Ross on Wye Herefordshire HR9 5WA
,Jasper’s Coffee,jasperscoffee.co.uk,"Yarcroft, Yarbridge, Brading, Isle of Wight, PO36 0BP "
,Jaspers Coffee,https://www.jasperscoffee.co.uk/,"31 Worsley Rd , Gurnard PO31 8JW England"
,Jaunty Goat,jauntygoat.co.uk,"Chester, England "
,Java Republic Roasting Company,www.javarepublic.com,"The Roastery, 510 Mitchelstown Road, Northwest Business Park, Ballycoolin, Dublin, Ireland"
,Java The Hut,https://www.javathehut.ie/,"Unit 1, Beat Centre,Stephenstown Industrial Estate, Balbriggan, County Dublin"
,JavaBean,https://javabean.co.uk,"17D HALL FARM BUSINESS PARK, MARTHAM ROAD, GREAT YARMOUTH, NR29 5DR"
,JerichoCoffeeTraders,www.jerichocoffeetraders.com,"3 King Edward Street, Oxford, Oxfordshire"
,Joe Black Coffee,www.joeblackcoffeeandtea.co.uk,"Millers Bridge Industrial Estate, Seymour Street, Liverpool, Merseyside, L20 1EE"
,John Watt And Sons,https://johnwattcoffeeandtea.com/,"11 Bank St, Carlisle, Cumbria, CA3 8HG"
,John Watt Coffee and Tea,https://johnwattcoffeeandtea.com/,"49-53 BLACKFRIARS STREET CARLISLE CUMBRIA, CA3 8HB"
,Johnsons Coffee,https://www.johnsonscoffee.com/,137 Hillsborough Old Road Lisburn N. Ireland BT27 5QR
,Julius Meinl UK,www.meinlcoffee.com/uk/uk/julius-meinl.html,"Unit 3, Ground Floor, Lafone House, Leathermarket, 11 – 13 Weston Street, London, SE1 3ER"
,Just In Coffee Group,www.justincoffee-group.com,Semley Industrial Estate Station Road Semley Shaftesbury Dorset
,Jute Coffee,https://www.jute.coffee/,"Unit 3 Top Close, Thrapston, Kettering, Northants, NN14 4PP."
,Kahwati,https://kahwati.co.uk/,"20-22 Wenlock Road, London, England, N1 7GU"
,Kendricks,https://www.kendricks.co.uk/,"12-14 Ocean Parade, Ferringham Lane, Ferring, United Kingdom"
,Kent Tea and Coffee,www.tea-and-coffee.com,"Pivington Mill, Egerton Road, Pluckley, Ashford, Kent, TN27 0PG"
,Kickback Coffee Roasting Co,https://www.kickbackcoffee.co.uk/,"The Old Brickworks, Pott Shrigley, Cheshire, SK10 5RX"
,Killarney Coffee,https://killarneycoffee.ie/,"Scart, Killarney, Co. Kerry, Ireland"
,Kilted Coffee,https://kilted-coffee.com/,
,Kimbo UK,www.kimbo.co.uk,"Chiswick, London"
,Kin Coffee,https://kincoffee.co.uk/,
,Kingswood Coffee,https://kingswoodcoffee.co.uk/,"Digby Fen, Billinghay, Lincolnshire, LN4 4DT"
,Kinsale Coffee,https://kinsalecoffee.ie/,"Kinsale, Co.Cork"
,Koffy,koffy.ie,"Flurry Bridge Business Park, Lower Foughill Rd, Jonesborough, Newry, Northern Ireland, BT35 8SQ "
,Kogarashi,https://www.kogarashi.co.uk/,"Hoylake, United Kingdom"
,Kokebi Coffee,https://www.kokebicoffee.co.uk/,
,Kontext Coffee Company,https://www.kontextcoffee.com,"Wyastone Business Park, Wyastone Leys, Ganarew, Monmouth, NP25 3SR"
,Kulture Coffee,https://www.kulturecoffee.co.uk/,"380 Kirkstall Road, Leeds, United Kingdom"
,Lalico Coffee,https://lalicocoffee.co.uk/,"Station Approach Industrial Estate, Burnham on Crouch, United Kingdom"
,Lands End Coffee,https://www.landsendcoffee.co.uk/,"Lands End Coffee Co., Sennen, United Kingdom"
,Lars & Margo,https://www.larsandmargo.co.uk/,"Unit 16, Liskeard Business Park, Holman Road, PL14 3UT Liskeard"
,Lee Coffee,https://www.leecoffee.co.uk/,Southampton · Gosport · Fareham · Portsmouth
,Leicester Coffee House,https://www.leicestercoffeehouse.co.uk/,"110 Granby Street, Leicester, United Kingdom"
,Leinster Mills,https://www.leinstermills.com/,"Leinster Mills, Osberstown, Naas, Co. Kildare, W91X264, Ireland"
,Limini Coffee,www.liminicoffee.co.uk,"Unit 6 Luddite Way Business Park Rawfolds Way, Rawfolds, Cleckheaton, BD19 5DQ"
,Lincoln & York,www.lincolnandyork.com,"Kahawa House, Elsham Wold Industrial Estate, Nr. Brigg, North Lincolnshire, DN20 0SP"
,Lincoln Coffee House,lincolncoffeehouse.co.uk,"60, Kings Rd, Reading, United Kingdom "
,Lincoln Tea & Coffee,thelincolnteaandcoffeecompany.co.uk,"North Hykeham, Lincoln "
,Lindfield Coffee Works,www.lindfieldcoffeeworks.co.uk,
,Little Fin Coffee Roastery,https://www.littlefinroastery.com/,"5Glastonbury Chase, Westcliff-On-Sea, SS0 0EE"
,Littlestone Coffee,www.littlestonecoffee.co.uk,"17 Norman Court, Budlake Road, Exeter, EX2 8PY"
,Loch Lomond Coffee,https://www.lochlomondcoffee.co.uk/,
,Lomond Coffee,https://lomondcoffee.co.uk/,"Arch 7, Deptford Market Yard, Deptford High St, London SE8 4BX"
,Londinium Espresso,LondiniumEspresso.com,"426 Long Drive, London, UB6 8UH "
,London Calling Coffee,https://londoncallingcoffee.co.uk/,"3 Little Mundells Welwyn Garden City Hertfordshire, AL7 1EW"
,London Coffee Roasters,www.londoncoffeeroasters.co.uk,"Unit 41, New Lydenburg Comm Est, New Lydenburg St, London, SE7 8NE"
,London Grade Coffee,https://londongradecoffee.com/,"1 Telegraph Street, EC2R 7AR, London"
,Lone Wolf Mountain Coffee,https://www.lonewolfmountaincoffee.co.uk/,"Nottingham, United Kingdom"
,Long & Short coffee,https://longandshort.london/,London
,Lonton Coffee Co,https://lonton.co.uk/,"The Roastery, Lonton Lime Kilns, Middleton-in-Teesdale, United Kingdom"
,Lost Horizon Coffee,https://losthorizoncoffee.com/,"32 Upper York Street, Bristol, BS2 8QN"
,Lost Sheep Coffee,www.lostsheepcoffee.com,"Unit 54-55, Milstrood Road, Whitstable, Kent, CT5 3PS"
,Love Koffi,https://lovekoffi.com/,"32 LISTRY ROAD Newquay, Cornwall TR7 2DS"
,Lucid Coffee Roasters,https://www.lucidcoffeeroasters.com/,
,Luckie Beans,luckiebeans.co.uk,"Love Lane, Berwick Upon Tweed, Northumberland, TD15 1AR "
,Lufkin Coffee,https://www.lufkincoffee.com/,"Cardiff, CF5 1FJ"
,Mac & Me Roasting,https://macandmeroasting.co.uk/,"6 Reeds Farm Estate, Writtle, United Kingdom"
,MacBeans Coffee,www.macbeans.com,"2 Little Bemont Street, Aberdeen, Scotland, AB10 1JG"
,Machina Coffee,http://www.machina-coffee.co.uk/,"Unit 9 Peffermill Park, 25 Kings Haugh, Edinburgh EH16 5UY"
,Maestro,https://maestro-coffee.co.uk/,"Hounslow, Greater London, England, United Kingdom"
,Mahers Pure Coffee,https://maherspurecoffee.ie/,"25 Oliver Plunkett Street , Cork, Ireland"
,Maison Dieu Coffee,https://maisondieucoffee.co.uk/,"Former Sonoco Building,, Brechin, United Kingdom"
,ManCoCo,www.mancoco.co.uk,"84 Hewitt St, Manchester, M15 4GB"
,Manx Tea And Coffee,www.manxteaandcoffee.com,"Unit 4, Rear Wilson & Collins, Balthane Industrial Estate, Ballsalla, Isle of Man, IM9 2AJ"
,Markus Coffee,www.markuscoffee.com,"13 Connaught Street, London"
,Masteroast Coffee Co Ltd,www.masteroast.co.uk,"Plantation House, Newark Road, Peterborough, Cambridgeshire, PE1 5UA"
,Matthew Algie,www.matthewalgie.com,"16 Lawmoor Road, Glasgow, Scotland, G5 0UL"
,Maude Coffee,www.maudecoffee.co.uk,"83, 82 Railway St, Leeds, West Yorkshire, LS9 8HB"
,Mc Williams Coffee,https://mcwilliamscoffee.ie/,"288 Bannow Rd, Dublin 7, D07 PP9T"
,McCABE’S Coffee,https://mccabecoffee.com/,"1 Newtown Business & Enterprise Centre, Newtownmountkennedy, Wicklow, Ireland"
,Meastelo,https://meastelo.com/,"Bymac Business Centre, Northwest Business Park, D15 CPK0 Dublin 15 IRELAND"
,Melco Coffee,https://melcocoffee.co.uk/,"42 West Church Street, Buckie, Moray, AB56 1JG"
,Meletius Ltd,meletius.com,"Meletius Coffee Roasters Wembley Commercial Centre Building B, East Lane, Wembley, HA9 7UR "
,Method Roastery,methodroastery.com,"Method Coffee Roasters, Arches 50-51, Cherry Tree Walk, Worcester, WR1 3BH "
,Microroastery,microroastery.co.uk,"4 St.Margarets Street, Canterbury, Kent, CT1 2TP "
,MissionCoffeeWorks,www.missioncoffeeworks.com,"4 Grosvenor Way, London, E5 9ND"
,Mocha Mondo Coffee Limited,www.mochamondo.co.uk,"Amble, Northumberland"
,Modern Standard Coffee,www.modernstandardcoffee.com,"Unit 6 Capstan Centre, Tilbury, Essex, RM18 7HH"
,Mokarabia Coffee,www.mokarabia.co.uk,London
,Monkey Board Coffee,https://monkeyboardcoffee.co.uk/,Liverpool
,Monmouth Coffee,www.monmouthcoffee.co.uk/,"2 Park St, London, SE1 9AB"
,Monsoon Estates,www.monsoonestates.co.uk,"3b Grove Business Park, Atherstone on Stour, Stratford upon Avon, Warwickshire, CV37 8DX"
,Mont58 Coffee,https://mont58coffee.com/,
,Moonroast Coffee,www.moonroast.co.uk,"Brown Candover, Alresford, Hampshire, SO24 9TN"
,Morning Dog Coffee,https://morningdogcoffee.com/,"9 Huntly Cottages, Huntly Place, Aboyne, Aberdeen, AB345HD"
,Moyee Coffee,https://moyeecoffee.ie/,"Unit F1, Spade Enterprise Centre, North King Street, Dublin 7, Dublin, Ireland"
,Mr Duffins Coffee,www.mrduffinscoffee.com,"49 Main Street, Staveley, Cumbria, LA8 9LN"
,Mr Tinto,https://www.mrtinto.co.uk/,London
,mr_eion,http://www.mreion.com,"9 DPS, Stockbridge, Edinburgh, Scotland"
,mug run roasting,http://www.mug-run.com,"Unit E3, Morfa Clwyd, Marsh Road, Rhyl, LL18 2AF"
,Nairobi Coffee,https://nairobi-coffee.co.uk/,Shakespeare Street WD24 5RY Watford
,Naked Roaster Coffee,https://nakedroaster.com,"Earlspark Avenue, Glasgow, G43 2HW"
,Naughty Monkey Coffee,https://naughtymonkeycoffee.co.uk/,"Colchester, United Kingdom"
,Nelson Coffee Roasters,nelsoncoffee.co.uk,Eastbourne 
,New Ground Coffee,newgroundcoffee.com,"Workshop, r/o Simon House, 2 Windmill Road, Oxford, OX3 7BU "
,Ngopi,https://ngopi.co.uk/,"London 78 Dalston Ln, E8 3AH"
,No13 Coffee Roasters,www.no13.coffee,"Kettering, Northamptonshire"
,Noni’s Coffee Roasters,https://www.noniscoffeeroasters.com/,"C5, Phoenix Trading Estate, London Rd, Stroud GL5 2BX, United Kingdom"
,Nordfell,https://nordfell.com,London
,Norfolk Coffee,https://norfolk.coffee/,"Barn 15, Moor Hall Farm, Wood Dalling Road, Salle, Holt, United Kingdom"
,Norfolk Pig Coffee,norfolkpigcoffee.co.uk,King's Lynn 
,North Star Roast,northstarroast.com/,"Unit 27, Penraevon Industrial Est., Jackson Road, Meanwood Road, Leeds, West Yorkshire, LS7 2AP "
,Northern Cobbler,https://northerncobbler.com/,
,Northern Edge Coffee,www.northernedgecoffee.co.uk,"Unit 5, Meantime Workshops, North Greenwich Road, Spittal, Berwick-Upon-Tweed, Fife, TD15 1RG"
,Northern Tea,www.northern-tea.com,"Crown House, 193 Chatsworth Road, Chesterfield, Derbyshire, S40 2BA"
,Northside Coffee,https://www.northsidecoffee.co/,Unit 7 Coopies Haugh Coopies Lane Morpeth Northumberland NE61 6JN
,Notes Roastery,https://notescoffee.com,"Unit 2 Blackwall Trading Estate, Lanrick Road, London, E14 0JP"
,Nude Coffee Roasters,www.nudeespresso.com,"26 Hanbury St, London, E1 6QR"
,Obadiah Coffee,https://obadiahcoffee.com/,"Unit 4-5 The Arches, Abbeyhill, Edinburgh, EH8 8EE, UK"
,Odd kin Coffee,https://www.oddkincoffee.com/,"Unit 18 Kenn Court, Roman Farm Rd,Bristol, United Kingdom"
,OLD SPIKE ROASTERY,https://oldspikeroastery.com/,"Unit 5- Print Village Chadwick Road, London SE15 4PU"
,Olfactory Coffee,www.olfactorycoffee.co.uk,"Old Brewery Yard · Lower Treluswell, Penryn, Cornwall, TR10 9AT"
,Origin Coffee,www.origincoffee.co.uk,"The Roastery, Wheal Vrose Business Park, Helston, Cornwall, TR13 0FG"
,Oryx,https://oryx.gg/,31 Mill Street Saint Peter Port Guernsey
,Otis & Carter Coffee,https://otiscartercoffee.com/,"Unit 7 New Lairdship Yards , Edinburgh, United Kingdom"
,Ouseburn Coffee Co.,www.ouseburncoffee.co.uk,"Foundry Lane Studios, Foundry Lane, Newcastle-Upon-Tyne, NE6 1LH"
,Outpost Coffee,www.outpostcoffeeroasters.co.uk,"2 Stoney St, Nottingham, NG1 1LG"
,Ovenbird Coffee roasters,https://www.ovenbird.co.uk,"Stables, Blackwood Estate, Lesmahagow, South Lanarkshire, Scotland, ML11 0JG"
,Owens Coffee,www.owenscoffee.com,"The Roastery, Endsleigh, Ivybridge, Devon, PL21 9JL"
,Ozone Coffee Uk,ozonecoffee.co.uk,"11 Leonard Street, London, EC2A 4AQ "
,Pact Coffee,https://welcome.pactcoffee.com/pactcoffeeblog/,"The Mint Building, The Biscuit Factory, 100 Clement's Road, Bermondsey, London, SE16 4DG"
,Paddy & Scott’s,www.paddyandscotts.co.uk,"Suffolk, IP13 7SR"
,Papercup Coffee,papercupcoffee.co.uk/,"603 Great Western Road, Glasgow, Scotland, G12 8HX "
,Passion Fruit Coffee,www.passionfruitcoffee.co.uk,"""486 WILBRAHAM ROAD, CHORLTON, MANCHESTER M21 9AS"""
,Peaberry Coffee,peaberrycoffee.co.uk,"The Roastery, 60 Basepoint Business & Innovation Centre, Caxton Close, Andover, Hampshire, SP10 3QN "
,peakbean,www.peakbean.co.uk,
,Pearhaus Coffee,https://www.pearhauscoffee.com/,
,Pebble & Pine,https://pebbleandpine.co.uk/,
,Penningtons,https://penningtonscoffee.co.uk/,"Pennington's Tea & Coffee Ltd, Unit 12 Kendal Business Park, Appleby Road, Kendal, Cumbria, LA9 6ES"
,Perception Coffee,https://perceptioncoffee.co.uk/,London
,Perky Blenders Coffee Roasters,www.perkyblenders.com,"10 Acacia Business Centre, Howard Rd, Leytonstone, London, E11 3PJ"
,Pharmacie Coffee Roasters,www.pharmacie.coffee,"18 Cambridge Grove, Brighton and Hove, BN3 3ED"
,Piccolo’s,www.piccolos.coffee,"130 Bridge street, Worksop, Nottinghamshire"
,Piccolos Coffee,https://piccolos.coffee/,"130 Bridge Street, Worksop, Nottinghamshire, England S80 1HS"
,Pilgrims Coffee,www.pilgrimscoffee.com,"Marygate, Holy Island, Northumberland, TD15 2SJ"
,Pine Cone Coffee,https://pineconecoffee.ie/,"Bakers Corner, The Forge, Rochestown Ave, Kill of the Grange, Dublin 18, A96 TD77, Ireland"
,Pink Lane Coffee,http://pinklanecoffee.co.uk/,"1 Pink Lane, Newcastle upon Tyne, Tyne and Wear, NE1 5DW"
,PLOT Roasting,plotroasting.com,"Unit 38, The I O Centre, Armstrong Rd, Woolwich, London, SE18 6RS "
,Poblado Coffi,https://www.pobladocoffi.co.uk/,"Unit 1, Y Barics, Nantlle, LL54 6BD"
,Podda & Wren,https://www.podda-wren.co.uk/,"Elephant Yard, Kendal, United Kingdom"
,Podium Coffee Roasters,https://podiumcoffee.co.uk,"31a Bone Lane, Podium Place, Newbury Berkshire, RG14 5SH"
,Pollards,https://pollards.com/,"Units A, B & C Tinsley Industrial Estate Shepcote Lane Sheffield S9 1DR"
,Pollards Shop,www.pollardscoffee.co.uk,"The Roastery, 15 E&F Tinsley Industrial Estate, Shepcote Lane, Sheffield, South Yorkshire, S9 1TL"
,Pónaire Irish Handcrafted Coffee,www.ponaire.ie,"Main Street, Newport, Co Tipperary, Ireland"
,Ponticelli Espresso,www.ponticelli.ie,"Unit 3 Kilcohan Industrial Complex, Kilcohan, Waterford, Ireland"
,Potterbeans,https://potterbeans.coffee/,"Blackwater StudiosEast Hill, Blackwater TruroCornwallTR4 8HW"
,Primo Coffee,https://primo-coffee.co.uk/,"10 St Marys Fields, Colchester, Essex CO3 3AE"
,Primo Coffee & Tea Ltd.,primo-coffee.co.uk,"Manningtree, Colchester, Essex "
,PS Coffee Roasters,https://pscoffeeroasters.com/,"PS Coffee Roasters Roastery Link Business park, Kilcullen, Co. Kildare, Ireland"
,Ptarmigan Coffee,https://www.ptarmigan.coffee/,Livingston - Scotland
,Pumphrey’s Coffee,www.pumphreys-coffee.co.uk,"Bridge Street, Blaydon, Tyne and Wear, NE21 4JH"
,Pumphreys Coffee,https://pumphreys-coffee.co.uk/,"Bridge Street, Blaydon on Tyne Tyne & Wear, NE21 4JJ"
,Pure Roast Coffee,https://www.pureroastcoffee.co.uk/,"8 PRM Industrial Estate, Lisburn, United Kingdom"
,Pure Roasters,https://www.pureroasters.com/,Scotland
,Quantum Coffee Roasters,www.quantumroasters.co.uk,"58 Bute Street, Quayside, Cardiff Bay, Cardiff, CF10 5BN"
,Quarter Horse Coffee,quarterhorsecoffee.com,"88-90 Bristol street, Birmingham, B5 7AH "
,Queen Sheba,https://www.queensheba.coffee/,"52 Lynda Meadows, Newtownabbey, Antrim, United Kingdom, BT37 0AT"
,Rand Coffee Roastery,https://www.randcoffeeroastery.com/,"90 Street Lane , Leeds, United Kingdom"
,Rave Coffee,www.ravecoffee.co.uk,"Unit 7, Stirling Works, Love Lane, Cirencester, Gloucestershire, GL7 1YG"
,Reads Coffee,www.readscoffee.co.uk/,"LIMEKILN FARM, SHERBORNE, DORSET, DT9 6PS"
,Real Deal Roasters,www.realdealroasters.co.uk,"Real Deal Roasters, The Woodpecker, Cherry Lane, Deal, Kent, CT14 0HG"
,Recent Beans,https://www.recentbeans.com/,"The Queen's Mill, Aire Street, Castleford, United Kingdom"
,Red Bank Coffee Roasters,redbankcoffee.com,"Unit 4B, Lake Road Estate, Coniston, LA21 8EW "
,Red Bean Roastery,https://www.redbeanroastery.com/,"Red Bean Roastery Leopardstown Central Park, Sandyford, Dublin, Ireland"
,Red Garage Coffee,http://www.redgaragecoffee.co.uk/,No. 10 BH25 5EG New Milton Hampshire
,Red Monkey Coffee UK,www.redmonkeycoffee.co.uk,"Bache Farm, Westhope, Near Ludlow, Shropshire, SY7 9LG"
,Red Roaster,redroaster.co.uk,"1d St James's St, Brighton, BN2 1RE "
,Redbank Coffee Roasters,https://redbankcoffee.com,"Unit 12, Boundary Bank, Kendal, Cumbria, LA9 5RR"
,Redber,www.redber.co.uk,"Unit 2, Merrow Depot Merrow Lane, Guildford, Surrey, GU4 7BQ"
,Redemption Roasters,https://www.redemptionroasters.com/,"Redemption Roasters, 84b Lambs Conduit Street, London, United Kingdom"
,Regal Coffee Ltd.,www.regalcoffeeroasters.co.uk,"Suite 3, Maybank Business Centre, 208 Maybank Road, London, E18 1ET"
,Relish Coffee,www.Relishcoffee.com,22 Front Street Monkseaton NE25 8DF
